Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
78,Pt,platinum,192, 0.007 82(24),g,0.00782,78192
78,Pt,platinum,194, 0.328 64(410),g,0.32864,78194
78,Pt,platinum,195, 0.337 75(240),g,0.33775,78195
78,Pt,platinum,196, 0.252 11(340),g,0.25211,78196
78,Pt,platinum,198, 0.073 56(130),g,0.07356,78198
79,Au,gold,197, 1,g,1.0,79197
80,Hg,mercury,196, 0.0015(1),g,0.0015,80196
80,Hg,mercury,198, 0.1004(3),g,0.1004,80198
80,Hg,mercury,199, 0.1694(12),g,0.1694,80199
80,Hg,mercury,200, 0.2314(9),g,0.2314,80200
80,Hg,mercury,201, 0.1317(9),g,0.1317,80201
80,Hg,mercury,202, 0.2974(13),g,0.2974,80202
80,Hg,mercury,204, 0.0682(4),g,0.0682,80204
81,Tl,thallium,203,"[0.2944, 0.2959]",g,0.29515,81203
81,Tl,thallium,205,"[0.7041, 0.7056]",g,0.70485,81205
82,Pb,lead,204, 0.014(6),g r,0.013999999999999999,82204
82,Pb,lead,206, 0.241(30),g r,0.24100000000000002,82206
82,Pb,lead,207, 0.221(50),g r,0.221,82207
82,Pb,lead,208, 0.524(70),g r,0.524,82208
83,Bi,bismuth,209, 1,g r,1.0,83209
84,Po,polonium,209, 1,g r,1.0,84209
85,At,astatine,210, 1,g r,1.0,85210
86,Rn,radon,222, 1,g r,1.0,86222
87,Fr,francium,223, 1,g r,1.0,87223
88,Ra,radium,226, 1,g r,1.0,88226
89,Ac,actinium,227, 1,g r,1.0,89227
90,Th,thorium,230, 0.0002(2),g r,0.0002,90230
90,Th,thorium,232, 0.9998(2),g r,0.9998,90232
91,Pa,protactinium,231, 1,g r,1.0,91231
92,U,uranium,234, 0.000 054(5),g m,5.4000000000000005e-05,92234
92,U,uranium,235, 0.007 204(6),g m,0.007204,92235
92,U,uranium,238, 0.992 742(10),g m,0.992742,92238
93,Np,neptunium,237,1,,1,93237
94,Pu,Plutonium,244,1,,1,94244
95,Am,Americium,243,1,,1,95243
96,Cm,Curium,247,1,,1,96247
